State,County,max_aqi,p90_aqi,median_aqi,mean_days_unhealthy,mean_days_sensitive,risk_label
Utah,Duchesne,215,99,47.833333333333336,2.5,7.0,High Risk
Arizona,Gila,196,97,46.833333333333336,1.8333333333333333,14.0,High Risk
California,San Joaquin,215,97,49.833333333333336,2.3333333333333335,9.833333333333334,High Risk
Idaho,Ada,214,97,44.166666666666664,2.8333333333333335,10.5,High Risk
Texas,Tarrant,209,97,54.166666666666664,2.6666666666666665,16.833333333333332,High Risk
Wisconsin,Jefferson,140,97,40.0,0.0,3.5,High Risk
Wisconsin,Racine,200,97,41.333333333333336,0.8333333333333334,7.333333333333333,High Risk
Illinois,Cook,223,94,55.833333333333336,2.8333333333333335,16.5,High Risk
Montana,Missoula,190,94,49.666666666666664,2.8333333333333335,9.833333333333334,High Risk
Colorado,Adams,174,93,50.833333333333336,1.0,11.833333333333334,High Risk
Colorado,Chaffee,119,93,53.2,0.0,3.8,High Risk
Colorado,Clear Creek,156,93,48.5,0.6666666666666666,9.166666666666666,High Risk
Colorado,El Paso,166,93,47.333333333333336,0.6666666666666666,8.166666666666666,High Risk
South Dakota,Minnehaha,193,93,38.333333333333336,1.0,5.0,High Risk
Texas,Denton,187,93,46.5,2.1666666666666665,16.833333333333332,High Risk
Wisconsin,Columbia,159,93,40.0,0.3333333333333333,3.5,High Risk
Wisconsin,Walworth,143,93,41.5,0.0,4.5,High Risk
Country Of Mexico,SONORA,193,92,48.0,1.0,6.166666666666667,High Risk
Idaho,Lemhi,212,92,38.166666666666664,3.5,9.333333333333334,High Risk
Utah,Davis,157,92,46.833333333333336,0.5,13.666666666666666,High Risk
Nebraska,Douglas,169,91,43.333333333333336,0.5,5.333333333333333,High Risk
Nevada,Douglas,279,91,23.0,5.333333333333333,2.3333333333333335,High Risk
California,Ventura,176,90,50.166666666666664,1.0,12.666666666666666,High Risk
Iowa,Harrison,140,90,40.166666666666664,0.0,3.0,High Risk
Alabama,Jefferson,255,89,55.833333333333336,0.8333333333333334,5.0,High Risk
Indiana,Marion,259,89,56.0,1.0,7.833333333333333,High Risk
Michigan,Wayne,226,89,56.5,1.5,10.0,High Risk
Minnesota,Scott,179,88,40.833333333333336,0.8333333333333334,2.3333333333333335,High Risk
California,Colusa,225,87,48.166666666666664,4.666666666666667,3.1666666666666665,High Risk
Colorado,Garfield,158,87,48.833333333333336,0.16666666666666666,4.166666666666667,High Risk
Illinois,Kane,174,87,43.666666666666664,1.1666666666666667,5.833333333333333,High Risk
Michigan,Muskegon,187,87,38.666666666666664,0.3333333333333333,6.0,High Risk
